"%s - Discounts and Coupons","%s - Rabatte und Rabattcodes"
"%s - Special Products","%s - Besondere Artikel"
"%s RSS Feed","%s RSS-Feed"
"%s has reached a quantity of %s.","%s liegt jetzt bei einem Lagerbestand von %s."
"Admin Catalog","Admin Katalog"
"Admin Order","Admin-Bestellung"
"%s's Wishlist","%ss Wunschzettel"
"Cannot retrieve the wishlist","Wunschzettel konnte nicht abgefragt werden"
"Catalog","Katalog"
"Category Feeds","Kategorie Feeds"
"Click for price","Klicken für Preis"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Coupons/Discounts","Gutscheine/Rabatte"
"Current Status: %s<br/>","Aktueller Status: %s<br/>"
"Customer Name: %s","Kundenname: %s"
"Customer Order Notification","Benachrichtigung über Kundenbestellung"
"Customer Order Status Notification","Statusbenachrichtigung für Kundenbestellung"
"Details for %s #%s","Details für %s Nr. %s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","RSS einschalten"
"Enabling can increase security risk by exposing some order details.","Aktivierung kann das Sicherheitsrisiko erhöhen, indem einige Bestelldetails offengelegt werden."
"Error in processing xml. %s","Fehler beim Verarbeiten des XML. %s"
"From:","Von:"
"Get Feed","Feed abrufen"
"Gift Message","Geschenknachricht"
"Grand Total","Gesamtsumme"
"Low Stock Products","Produkte mit niedrigem Lagerbestand"
"Message:","Nachricht:"
"Miscellaneous Feeds","Verschiedene Feeds"
"New Order Notification","Neue Bestellbenachrichtigung"
"New Orders","Neue Bestellungen"
"New Products","Neue Produkte"
"New Products from %s","Neue Artikel seit %s"
"Notified Date: %s<br/>","Benachrichtigt am: %s<br/>"
"Order","Bestellung"
"Order # %s Notification(s)","Bestellung Nr. %s Benachrichtigung(en)"
"Order #%s created at %s","Bestellung Nr. %s aufgegeben am %s"
"Pending product review(s)","Ausstehende Produktbewertungen"
"Product: ""%s"" review By: %s","Artikel: ""%s"" Kundenmeinung von: %s"
"Product: <a href=""%s"">%s</a> <br/>","Artikel: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Artikel, die mit %s verschlagwortet sind"
"Purchased From: %s","Gekauft von: %s"
"RSS","RSS"
"RSS Feeds","RSS-Feeds"
"RSS Feeds List","RSS-Feeds Liste"
"Review Notification","Überprüfungsbenachrichtigung"
"Review: %s <br/>","Kundenmeinung: %s <br/>"
"Rss Config","RSS-Konfiguration"
"Shipping &amp; Handling","Versand & Bearbeitung"
"Special Products","Produkte im Angebot"
"Stock Notification","Lagerbenachrichtigung"
"Store: %s <br/>","Geschäft: %s <br/>"
"Subtotal","Zwischensumme"
"Summary of review: %s <br/>","Zusammenfassung der Kundenmeinung: %s <br/>"
"Tags Products","Schlagworte"
"Tax","Steuer"
"There are no Rss Feeds","Es sind keine RSS-Feeds vorhanden"
"To:","Bis:"
"Top Level Category","Hauptkategorie"
"Total: %s<br/>","Gesamt: %s<br/>"
"Wishlist","Wunschzettel"
"click <a href=""%s"">here</a> to view the review","Klicken Sie <a href=""%s"">hier</a>, um die Kundenmeinung anzusehen"
