" for more information or "," pour plus d'informations ou "
"# of Items (and above)","# d'éléments (et au-dessus)"
"# of Items vs. Destination","Nb d'articles vs. Destination"
"Allow Shipping to Multiple Addresses","Autoriser l'expédition à plusieurs adresses"
"An error occurred while import table rates.","Une erreur s'est produite lors de l'importation des tarifs des tableaux."
"Calculate Handling Fee","Calculer les frais de manutention"
"Carrier:","Transporteur :"
"City","Ville"
"Close Window","Fermer la fenêtre"
"Condition","Condition"
"Country","Pays"
"Custom Value","Valeur personnalisée"
"Date","Date"
"Delivered on:","Livré le :"
"Delivered to:","Livré à:"
"Description","Libellé"
"Displayed Error Message","Message d'erreur affiché"
"Divide to equal weight (one request)","Diviser en poids égal (une requête)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Ligne dupliquée #%s (Pays ""%s"", Région/État ""%s"", Zip ""%s"" et Valeur ""%s"")."
"Enabled","Activé"
"Error:","Erreur:"
"Export","Exportation"
"File has not been imported. See the following list of errors: %s","Le fichier n'a pas été importé. Voir la liste suivante des erreurs : %s"
"Fixed","Fixe"
"Flat Rate","Taux forfaitaire"
"Free Shipping","Livraison gratuite"
"Handling Fee","Frais de manutention"
"Import","Importation"
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul des prix"
"Info:","Infos :"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" invalide dans la ligne%s."
"Invalid Country ""%s"" in the Row #%s.","Pays invalide ""%s"" à la ligne%s."
"Invalid Region/State ""%s"" in the Row #%s.","Région / État ""%s"" invalide à la ligne%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Prix de livraison «%s» invalide à la ligne%s."
"Invalid Table Rate code for type %s: %s","Code de tarification invalide pour le type %s: %s"
"Invalid Table Rate code type: %s","Type de code de tarification invalide : %s"
"Invalid Table Rates File Format","Format de fichier de tarification du tableau invalide"
"Invalid Table Rates format in the Row #%s","Format de taux de tables invalide dans la ligne%s"
"Local Time","Heure locale"
"Location","Localisation"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Quantité maximale autorisée pour l'expédition vers plusieurs adresses"
"Method Name","Nom de la méthode"
"Minimum Order Amount","Montant minimum de la commande"
"N/A","N/A"
"None","Aucun"
"Options","Options"
"Order Subtotal (and above)","Sous-total de la commande (et au-dessus)"
"Origin","Origine"
"Per Order","Par commande"
"Per Package","Par paquet"
"Percent","Pourcentage"
"Price","Prix"
"Price vs. Destination","Prix vs destination"
"Region/State","Région/État"
"Service Type:","Type de service :"
"Ship to Applicable Countries","Expédier aux pays applicables"
"Ship to Specific Countries","Expédier à des pays spécifiques"
"Shipment #","Expédition n°"
"Shipment Tracking Popup","Popup de suivi des envois"
"Shipped or billed on:","Livré ou facturé le :"
"Shipping Methods","Méthodes de livraison"
"Shipping Settings","Paramètres d'expédition"
"Show Method if Not Applicable","Afficher la méthode si non applicable"
"Signed by:","Signé par :"
"Sort Order","Ordre de tri"
"Status:","Statut :"
"Store Pickup","Enlèvement du magasin"
"Street Address","Adresse postale"
"Street Address Line 2","Adresse ligne 2"
"Table Rates","Tarifs du tableau"
"The shipping module is not available for selected delivery country.","Le module de livraison n'est pas disponible pour le pays de livraison sélectionné."
"The shipping module is not available.","Le module de livraison n'est pas disponible."
"There is no tracking available for this shipment.","Il n'y a pas de suivi disponible pour cette expédition."
"There is no tracking available.","Il n'y a pas de suivi disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ce mode de livraison est actuellement indisponible. Si vous souhaitez expédier en utilisant ce mode d'expédition, veuillez nous contacter."
"This shipping method is not available, please specify ZIP-code","Ce mode de livraison n'est pas disponible, veuillez spécifier le code postal"
"Title","Titre de la page"
"Track:","Piste :"
"Tracking Information","Informations de suivi"
"Tracking Number:","Numéro de suivi:"
"Tracking information is currently not available. Please ","Les informations de suivi ne sont pas disponibles pour le moment. Veuillez "
"Tracking information is currently unavailable.","Les informations de suivi sont actuellement indisponibles."
"Type","Type de texte"
"Use origin weight (few requests)","Utiliser le poids d'origine (peu de requêtes)"
"Weight (and above)","Poids (et supérieur)"
"Weight vs. Destination","Poids vs destination"
"Weight:","Poids :"
"ZIP/Postal Code","Code postal"
"contact us","contactez-nous"
"email us at ","envoyez-nous un e-mail à "
