"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço do Carrinho de Compras baseadas no atributo ""%s"" foram desativadas."
"%s Coupon(s) have been generated","%s Cupom(uns) foram gerados"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabética"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar cupons. Por favor, revise o log e tente novamente."
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente aos itens do carrinho que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply To","Aplicar a"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir o(s) cupões selecionado(s)?"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de Cupom Gerados Automaticamente Específicos"
"Buy X get Y free (discount amount is Y)","Compre X receba Y grátis (o valor do desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Can't acquire coupon.","Não pode adquirir cupom."
"Cart Attribute","Atributo de Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do código"
"Code Length","Tamanho do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Coupon Qty","Qtde de Cupom"
"Coupons Information","Informações de Cupons"
"Coupon with the same code","Cupom com o mesmo código"
"Created On","Criado em"
"Customer Groups","Grupos de Cliente"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Default Label","Etiqueta Pré-definida"
"Default Rule Label for All Store Views","Rótulo de Regra Padrão para Todas as Visões de Loja"
"Description","Descrição"
"Discount Amount","Quantidade do Desconto"
"Discount Qty Step (Buy X)","Incremento de Desconto de Quantidade (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar regra '%s'"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
