" for more information or "," para obter mais informações ou "
"# of Items (and above)","# de itens (e acima)"
"# of Items vs. Destination","Número de Itens vs Destino"
"Allow Shipping to Multiple Addresses","Permitir Envio para Vários Endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar as taxas da tabela."
"Calculate Handling Fee","Calcular Taxa de Manuseio"
"Carrier:","Transportadora:"
"City","cidade"
"Close Window","Fechar Janela"
"Condition","Condição"
"Country","País/região"
"Custom Value","Valor personalizado"
"Date","Encontro"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue a:"
"Description","Descrição:"
"Displayed Error Message","Mensagem de erro exibida"
"Divide to equal weight (one request)","Divida para igual peso (uma solicitação)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar linha #%s (Country ""%s"", Região/Estado ""%s"", CEP ""%s"" e valor ""%s"")."
"Enabled","Ativado"
"Error:","Erro:"
"Export","Exportação"
"File has not been imported. See the following list of errors: %s","O arquivo não foi importado. Veja a seguinte lista de erros: %s"
"Fixed","Corrigido"
"Flat Rate","Taxa fixa"
"Free Shipping","Entrega Grátis"
"Handling Fee","Taxa de Manuseio"
"Import","Importação"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Informação:"
"Invalid %s ""%s"" in the Row #%s.","Inválido %s ""%s"" na linha #%s."
"Invalid Country ""%s"" in the Row #%s.","País inválido ""%s"" na linha #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Região / estado inválido ""%s"" na linha #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Preço de envio inválido ""%s"" na linha #%s."
"Invalid Table Rate code for type %s: %s","Código de tabela de taxa inválido para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código de tabela inválido: %s"
"Invalid Table Rates File Format","Formato de arquivo da tabela de tarifas inválido"
"Invalid Table Rates format in the Row #%s","Formato inválido das taxas da tabela na linha #%s"
"Local Time","Hora Local"
"Location","Local:"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Quantidade Máxima Permitida para Envio para Múltiplos Endereços"
"Method Name","Nome do Método"
"Minimum Order Amount","Quantidade de pedido mínimo"
"N/A","N/D"
"None","Nenhuma"
"Options","Opções"
"Order Subtotal (and above)","Subtotal do Pedido (e acima)"
"Origin","Origem"
"Per Order","Por pedido"
"Per Package","Por pacote"
"Percent","Porcentagem"
"Price","Quantidade"
"Price vs. Destination","Preço vs. Destino"
"Region/State","Região/Estado"
"Service Type:","Tipo de Serviço:"
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
"Shipment #","Entrega #"
"Shipment Tracking Popup","Rastreamento de Envio Popup"
"Shipped or billed on:","Enviado ou faturado em:"
"Shipping Methods","Métodos de Envio"
"Shipping Settings","Configurações de envio"
"Show Method if Not Applicable","Mostrar método se não aplicável"
"Signed by:","Assinado por:"
"Sort Order","Ordem de classificação"
"Status:","Estado:"
"Store Pickup","Levantamento em Loja"
"Street Address","Endereço da rua"
"Street Address Line 2","Linha de Endereço 2"
"Table Rates","Taxas de Tabela"
"The shipping module is not available for selected delivery country.","O módulo de transporte não está disponível para o país de entrega selecionado."
"The shipping module is not available.","O módulo de envio não está disponível."
"There is no tracking available for this shipment.","Não há nenhum rastreamento disponível para este envio."
"There is no tracking available.","Não há nenhum rastreamento disponível."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio está indisponível no momento. Se você gostaria de enviar usando este método de envio, por favor entre em contato conosco."
"This shipping method is not available, please specify ZIP-code","Este método de envio não está disponível, por favor, especifique o CEP"
"Title","Título"
"Track:","Faixa:"
"Tracking Information","Informações de rastreamento"
"Tracking Number:","Número de rastreamento:"
"Tracking information is currently not available. Please ","Informações de rastreamento atualmente não está disponível. Por favor "
"Tracking information is currently unavailable.","Informações de rastreamento estão atualmente indisponíveis."
"Type","tipo"
"Use origin weight (few requests)","Use o peso de origem (alguns pedidos)"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso vs. destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","Entre em contato"
"email us at ","envie um e-mail para "
